#{"t_start": 1707491093.613062, "env_id": "ALE/Breakout-v5"}
r,l,t
5.0,383,25.2287
1.0,205,27.276854
1.0,208,32.319102
1.0,212,34.429699
2.0,224,36.924334
1.0,193,39.05341
1.0,192,43.181051
1.0,170,44.894186
2.0,242,47.85353
4.0,333,53.914116
2.0,241,56.542343
2.0,255,59.163857
0.0,155,62.78048
0.0,167,64.298829
2.0,239,66.950067
2.0,238,72.992423
2.0,249,75.914554
3.0,281,79.076956
1.0,186,82.936384
2.0,231,85.376123
3.0,271,88.446445
1.0,196,92.597601
2.0,225,95.146477
0.0,172,96.599336
1.0,209,98.703456
2.0,247,103.539054
1.0,177,105.318877
1.0,180,107.073018
3.0,260,109.882861
1.0,197,114.091746
4.0,312,117.792408
0.0,159,120.078743
3.0,240,124.89795
7.0,428,130.08071
4.0,325,135.927618
2.0,215,137.960926
2.0,235,142.549503
2.0,248,145.089407
3.0,282,147.938785
4.0,292,153.456806
4.0,313,156.823128
1.0,202,158.560581
5.0,348,164.537108
4.0,329,171.691252
6.0,353,175.51723
5.0,347,181.441988
7.0,461,186.516644
5.0,342,192.438794
2.0,244,194.68703
3.0,281,199.689632
5.0,365,203.777615
2.0,247,208.123846
9.0,427,214.85764
7.0,451,221.900386
5.0,358,225.790755
6.0,388,232.250615
5.0,341,238.089409
6.0,399,242.256559
8.0,471,249.79286
5.0,358,255.616582
8.0,450,262.273397
8.0,445,269.29847
5.0,356,275.005457
8.0,458,279.983139
3.0,277,284.727693
2.0,228,286.810412
4.0,316,292.331497
6.0,411,296.788214
6.0,388,305.222425
6.0,361,309.011211
7.0,433,315.770397
6.0,388,322.159145
12.0,473,329.281075
5.0,398,333.656436
12.0,644,343.028903
11.0,476,352.529254
8.0,435,359.554773
11.0,559,368.083536
7.0,421,372.655219
5.0,335,378.121199
9.0,494,385.903346
9.0,518,395.767113
7.0,408,400.171168
7.0,425,406.983114
10.0,566,415.700782
8.0,499,423.19948
3.0,230,425.426459
11.0,582,433.993655
8.0,464,443.045474
7.0,420,449.79616
7.0,405,454.207382
7.0,419,461.001167
7.0,389,467.504288
2.0,224,469.281684
8.0,527,477.341378
