#{"t_start": 1702878520.5411286, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1025,7.75383
1.0,699,10.557656
0.0,508,12.559621
1.0,719,16.889888
2.0,759,19.692768
0.0,508,21.738595
0.0,543,23.648299
1.0,645,26.005173
0.0,527,29.625801
1.0,717,32.466563
1.0,715,35.040476
1.0,708,37.656623
3.0,936,42.64642
1.0,701,45.249444
4.0,1214,50.142353
1.0,710,54.586845
0.0,527,56.541588
1.0,708,59.375519
2.0,910,62.963974
3.0,996,68.238694
0.0,524,70.057006
1.0,635,72.583272
2.0,806,77.269613
1.0,727,80.042256
7.0,1305,85.231869
4.0,1276,92.156449
0.0,516,93.974943
0.0,535,96.168925
0.0,537,98.05285
2.0,910,103.049913
0.0,513,105.013712
0.0,539,106.878953
0.0,535,108.803085
1.0,727,111.401771
2.0,891,116.427891
2.0,805,119.408738
3.0,996,124.413009
2.0,914,127.762252
1.0,697,130.358744
0.0,531,132.314732
0.0,531,134.202786
1.0,701,138.327464
0.0,511,140.114697
0.0,539,141.957186
0.0,541,143.862995
0.0,528,145.63926
0.0,519,149.137695
0.0,520,151.039972
0.0,514,152.890161
1.0,719,155.534911
0.0,507,157.440334
1.0,631,161.310958
1.0,646,163.70894
1.0,708,166.568304
5.0,1420,174.274831
3.0,930,177.896714
2.0,924,181.47752
0.0,519,184.866916
0.0,540,187.025666
4.0,1272,192.162609
3.0,1016,197.844281
0.0,511,199.729404
3.0,950,203.334493
1.0,651,205.696409
1.0,694,209.749404
1.0,700,212.447819
3.0,927,216.229494
3.0,1027,221.712559
2.0,814,224.921339
1.0,706,227.685875
0.0,533,229.667294
1.0,713,234.090716
2.0,914,237.5453
1.0,631,239.941556
6.0,1313,246.254903
1.0,641,248.675262
2.0,833,251.823613
2.0,766,254.881318
0.0,520,258.290132
1.0,699,260.879174
1.0,633,263.161847
0.0,522,265.006452
2.0,771,269.71816
1.0,724,272.31305
0.0,519,274.114598
3.0,956,277.742099
0.0,535,281.411242
0.0,494,283.24208
0.0,529,285.169414
2.0,819,288.251487
1.0,696,290.885328
2.0,815,295.589586
3.0,1007,299.627985
0.0,520,301.66969
0.0,500,303.862607
1.0,704,308.391905
0.0,527,310.341078
1.0,651,312.873274
0.0,523,314.800243
1.0,706,319.435981
1.0,701,322.329204
0.0,527,324.264235
2.0,900,328.023268
0.0,519,331.673269
2.0,809,334.816534
0.0,528,337.079224
0.0,509,339.172837
0.0,535,341.083465
0.0,532,344.12295
1.0,702,346.878826
2.0,754,350.026838
0.0,528,352.025578
1.0,692,356.282489
1.0,637,358.574736
0.0,525,360.657019
0.0,526,362.584792
0.0,517,364.455638
5.0,1418,371.809141
2.0,821,375.054554
0.0,533,376.890319
0.0,520,378.728664
0.0,516,382.005093
2.0,890,385.321887
3.0,1024,389.448439
0.0,507,393.206788
2.0,823,396.478027
3.0,934,399.909162
0.0,515,402.200588
9.0,1718,411.725891
2.0,768,414.983266
0.0,517,418.059591
0.0,511,420.032183
2.0,833,423.16996
1.0,690,426.059555
1.0,716,430.342709
2.0,822,433.480878
2.0,857,436.784902
0.0,517,438.657378
0.0,537,440.535296
0.0,512,444.057616
3.0,1033,448.134356
0.0,525,450.006722
0.0,521,451.921548
3.0,942,457.28046
0.0,515,459.261185
0.0,523,461.224987
0.0,508,463.149145
1.0,707,467.579855
0.0,505,469.642128
3.0,1028,473.610621
0.0,520,475.647024
0.0,533,477.597992
5.0,1404,485.023935
1.0,690,487.648391
0.0,524,489.522356
0.0,526,493.229737
1.0,690,496.019004
3.0,954,499.657684
0.0,501,501.491108
5.0,1384,509.099718
0.0,500,510.974422
1.0,696,513.713378
4.0,1311,520.194157
1.0,628,522.56443
0.0,525,524.392122
2.0,815,528.94794
0.0,529,531.015997
2.0,847,534.285054
1.0,635,536.570513
1.0,637,540.978601
4.0,1304,546.376595
2.0,841,549.602224
0.0,524,551.542438
0.0,513,554.969296
0.0,530,556.802844
2.0,812,559.751354
5.0,1392,567.026797
4.0,1225,571.66111
0.0,528,573.585982
7.0,1317,581.132485
1.0,644,583.552733
0.0,515,585.438471
0.0,531,587.288542
5.0,1414,594.844405
1.0,709,597.475306
1.0,712,600.348502
0.0,517,604.684406
5.0,1288,609.806807
4.0,1197,616.495641
1.0,628,618.896632
4.0,1197,623.543977
2.0,879,629.024692
2.0,813,632.17865
1.0,704,634.849628
0.0,508,636.709198
0.0,516,638.57496
1.0,629,642.322188
5.0,1422,648.025058
0.0,519,649.884906
3.0,1016,655.593832
2.0,833,658.734615
2.0,826,661.969478
2.0,904,666.803719
0.0,532,668.705745
0.0,532,670.576045
0.0,523,672.471419
0.0,528,674.339025
1.0,636,679.043798
2.0,904,682.481589
1.0,721,685.105604
1.0,636,688.963652
2.0,815,692.083051
0.0,541,693.965558
2.0,809,697.08479
0.0,540,701.075727
0.0,516,702.929546
9.0,1622,709.205868
0.0,520,711.030364
1.0,639,714.937232
0.0,541,716.836655
0.0,508,718.771741
0.0,500,720.714944
2.0,834,725.62677
3.0,1008,729.471353
0.0,528,731.341599
