#{"t_start": 1702937490.7534351, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
240.0,1745,20.125707
170.0,1921,39.273939
240.0,2297,60.017776
340.0,2313,81.508124
150.0,1697,92.053584
260.0,1993,111.134126
310.0,2225,131.899293
950.0,2361,154.491171
370.0,1985,176.468413
470.0,1937,196.050779
440.0,1913,207.659315
750.0,3953,250.315032
940.0,2889,275.174215
310.0,2385,297.790248
660.0,2793,322.045134
1360.0,3161,348.794096
730.0,2681,372.426124
480.0,2257,395.266773
330.0,1857,415.50562
790.0,3089,443.4398
420.0,2657,468.2207
1280.0,3337,508.46608
540.0,2825,534.819484
280.0,2065,557.312462
510.0,3897,589.978043
300.0,2489,613.772961
910.0,2169,634.792608
460.0,2369,657.448919
240.0,2857,683.051565
690.0,2753,709.887776
610.0,2945,735.853616
1120.0,2633,761.734465
1170.0,3225,798.320408
690.0,3361,829.894397
350.0,2713,855.768637
620.0,2529,879.068769
330.0,2193,900.824253
760.0,2713,925.746187
120.0,1569,942.814795
850.0,3257,972.105937
1050.0,2761,998.084989
400.0,2345,1020.6223
410.0,2609,1044.224075
140.0,1505,1062.690886
1110.0,3273,1091.691773
180.0,1841,1111.195435
200.0,2041,1123.758389
640.0,3305,1161.884759
560.0,2641,1185.703025
160.0,1593,1195.531802
310.0,2265,1218.553626
550.0,1849,1238.729732
490.0,2801,1264.238667
500.0,1697,1282.683263
890.0,3313,1310.670957
380.0,2465,1334.321681
1430.0,3737,1374.229795
1190.0,3049,1400.688051
290.0,1969,1420.392766
670.0,2425,1445.387588
350.0,2169,1458.795183
1050.0,2025,1478.969013
420.0,2145,1500.732357
340.0,2257,1523.230189
280.0,2001,1542.466559
820.0,3513,1572.10833
2530.0,4825,1615.886678
1500.0,3473,1643.853019
450.0,2113,1663.187055
1060.0,2881,1688.109909
350.0,2377,1710.78169
410.0,2001,1729.733741
130.0,1425,1745.398579
430.0,2161,1766.489833
430.0,1889,1777.991989
250.0,1561,1793.778489
180.0,1161,1800.861693
360.0,2033,1819.437299
370.0,2033,1839.135011
570.0,2049,1859.1569
530.0,2297,1879.54208
640.0,2073,1898.765523
650.0,2473,1922.118517
810.0,2193,1935.568776
200.0,1681,1951.959922
1090.0,3041,1976.239753
430.0,1713,1994.529318
510.0,2425,2017.331811
830.0,2609,2039.964869
430.0,1785,2060.171253
