#{"t_start": 1702918118.5288184, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3056,26.833377
-21.0,3240,49.41593
-20.0,4531,87.218885
-20.0,3922,111.376937
-21.0,3056,142.849365
-21.0,3300,164.737459
-19.0,4476,202.141077
-21.0,3371,225.042869
-21.0,3296,248.064406
-20.0,3719,283.6099
-21.0,3504,306.783141
-21.0,3300,339.951611
-21.0,3131,363.25377
-21.0,3897,388.321959
-21.0,3296,419.738703
-21.0,3296,440.759782
-20.0,3367,461.685033
-21.0,3536,490.950666
-20.0,3348,511.798871
-19.0,4144,543.798559
-21.0,3853,566.081694
-21.0,3168,586.304447
-20.0,3481,615.51728
-19.0,4468,649.976547
-20.0,3708,671.89819
-19.0,3776,705.764153
-20.0,3618,729.44965
-21.0,3544,753.653634
-19.0,4352,790.326756
-21.0,3300,811.713507
-21.0,3300,843.467554
-20.0,3953,868.379019
-21.0,3379,899.89251
-20.0,3685,923.300102
-21.0,3371,954.875582
-20.0,3676,978.04693
-20.0,4087,1011.182229
-20.0,3722,1034.797932
-20.0,3847,1068.848356
-21.0,3296,1090.771938
-21.0,3300,1112.03162
-21.0,4010,1145.368228
-19.0,3752,1168.598178
-21.0,3536,1199.112106
-19.0,4552,1233.431926
-21.0,3876,1257.790787
-20.0,3350,1279.516241
-21.0,3656,1314.032603
-21.0,3245,1335.868938
-18.0,4671,1371.182542
-21.0,3544,1393.570456
-21.0,3411,1427.315352
-21.0,4276,1452.709131
-21.0,3899,1486.458693
-21.0,3536,1508.717129
-21.0,3296,1538.021749
-20.0,3831,1560.687095
-20.0,3987,1593.887333
-21.0,3768,1618.049177
-21.0,3408,1649.523815
-21.0,3648,1673.237319
-21.0,3368,1694.754716
-20.0,4231,1730.096994
-19.0,4041,1764.816704
-20.0,3485,1788.784577
-20.0,3725,1822.406938
-20.0,3607,1846.410206
-20.0,3607,1878.966248
-20.0,3607,1902.344778
-21.0,3131,1923.958215
-19.0,4154,1959.106839
-20.0,3443,1982.653349
-20.0,3823,2016.68544
-21.0,3565,2038.870932
-20.0,4024,2073.277979
-21.0,3056,2095.046848
-17.0,5600,2134.071846
-20.0,3367,2166.662172
-20.0,4381,2192.657851
-20.0,3834,2226.296547
-21.0,3720,2249.67912
-20.0,3351,2282.157408
-19.0,4474,2308.695367
-21.0,3732,2342.684216
-21.0,3784,2366.288111
-21.0,3280,2400.741851
-21.0,3760,2425.180559
-20.0,3534,2459.874817
-21.0,3776,2483.074377
-20.0,3959,2514.90112
-19.0,3980,2538.491366
-21.0,3896,2570.928413
-20.0,3899,2595.204875
-21.0,3652,2628.645036
-20.0,3711,2652.087184
-19.0,3888,2686.612243
-21.0,3650,2709.666466
-18.0,5019,2750.113382
-18.0,4779,2791.364545
-19.0,4748,2831.011515
-21.0,3778,2866.586952
-21.0,3973,2891.140677
-21.0,3357,2913.016515
-20.0,3514,2945.286204
-21.0,3131,2966.39643
-19.0,4939,3003.978373
-20.0,3904,3038.995355
-21.0,4069,3063.924595
-20.0,3591,3098.489537
-21.0,3371,3121.948977
-20.0,3679,3157.138347
-20.0,3615,3179.866062
-21.0,3296,3200.729148
-20.0,4033,3236.929906
-21.0,4240,3272.541503
-18.0,4245,3299.930192
-20.0,3969,3335.684438
-19.0,4442,3371.836725
-20.0,3487,3394.837099
-19.0,4360,3430.807896
-19.0,4210,3456.144471
-20.0,3483,3489.233827
-21.0,3921,3513.169779
-19.0,4062,3547.600701
-20.0,3927,3573.347018
-20.0,4858,3613.107507
-21.0,3056,3648.864954
-18.0,4607,3677.545804
-20.0,4111,3713.286475
-21.0,4038,3747.640706
-20.0,4081,3773.326857
-20.0,3444,3808.279487
-18.0,4597,3845.586056
-20.0,4352,3871.486407
-21.0,3969,3906.372291
-20.0,4318,3942.513668
-21.0,4000,3969.610443
-21.0,3168,3992.785935
-21.0,4740,4033.079275
-21.0,3416,4066.734042
-20.0,4159,4095.867182
-20.0,3841,4130.137169
-21.0,3489,4154.410103
-18.0,4358,4194.281008
-19.0,4712,4234.051373
-18.0,5510,4278.040908
-21.0,3884,4316.069052
-21.0,3624,4341.850964
-19.0,4655,4380.472254
-21.0,4599,4420.998742
-19.0,4352,4447.586805
-19.0,4604,4491.533826
-20.0,3675,4528.828845
-20.0,3928,4554.621854
-19.0,3792,4594.112165
-20.0,3834,4620.24454
-21.0,4026,4656.105614
-21.0,3318,4679.692641
-21.0,3768,4716.176875
-19.0,4937,4756.366022
