#{"t_start": 1702959843.6563294, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
140.0,2047,19.6002
180.0,2377,42.54945
110.0,1669,60.868028
180.0,2773,86.710175
125.0,2367,106.881571
135.0,2115,127.068078
60.0,1171,134.38751
60.0,1507,150.465782
105.0,1873,169.551782
160.0,1905,181.002584
105.0,1767,198.748093
180.0,2405,221.334848
290.0,3221,251.590646
45.0,1161,267.817712
180.0,2395,292.298223
120.0,2337,306.698934
105.0,2195,329.076732
155.0,2411,352.683449
210.0,2551,377.435528
380.0,2409,400.509529
180.0,2471,426.521501
210.0,2507,451.143792
210.0,2507,476.376706
410.0,2557,501.269049
515.0,3855,545.881198
180.0,2463,570.842459
210.0,2491,595.988998
355.0,2369,620.284838
210.0,2453,644.645679
105.0,1925,656.595387
110.0,2021,678.645855
160.0,2409,702.27233
180.0,2427,724.970223
180.0,2509,749.883485
410.0,2495,773.651911
180.0,2473,797.803708
210.0,2605,824.116009
180.0,2481,848.764142
180.0,2485,874.392786
180.0,2491,899.576544
210.0,2563,924.959299
260.0,2993,952.545156
210.0,2513,977.230713
210.0,2579,1002.545742
180.0,2485,1027.370238
380.0,2629,1053.329103
155.0,2447,1078.325245
310.0,4187,1124.731215
155.0,2407,1150.134229
260.0,3035,1180.089452
290.0,2917,1208.820734
260.0,2969,1238.531929
240.0,2949,1267.476722
225.0,3249,1308.325244
565.0,4343,1346.070468
180.0,2537,1371.760238
265.0,3025,1400.360517
210.0,2597,1427.078669
290.0,3253,1468.821531
270.0,2959,1497.798252
180.0,2663,1525.403117
305.0,3265,1555.796312
240.0,2917,1584.316624
155.0,2619,1611.905982
270.0,2911,1650.67651
260.0,2945,1680.05431
270.0,2951,1708.771188
180.0,2643,1734.806282
410.0,2567,1761.437597
260.0,2975,1790.637851
240.0,2937,1819.782539
210.0,2565,1845.389268
260.0,2903,1874.062104
210.0,2611,1901.048885
240.0,2941,1939.637443
155.0,2467,1965.512462
260.0,3045,1993.820997
180.0,2663,2020.941013
260.0,2995,2049.191473
210.0,2489,2073.848313
210.0,2523,2099.161784
180.0,2635,2125.603079
210.0,2541,2151.637936
260.0,3047,2180.799373
260.0,2941,2209.6831
270.0,2959,2247.713083
260.0,3045,2276.181967
285.0,4111,2313.12862
230.0,3283,2354.204207
180.0,2635,2380.409884
180.0,2635,2407.768143
285.0,3265,2438.532871
210.0,2551,2465.160986
290.0,2927,2494.214765
285.0,2917,2522.891754
270.0,2955,2552.633519
240.0,2919,2595.594974
285.0,2909,2624.450647
260.0,2941,2653.091141
180.0,2657,2682.516846
280.0,3273,2713.57442
180.0,2669,2740.126826
490.0,5727,2807.705154
210.0,2571,2833.815973
