#{"t_start": 1702950418.3600101, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,810,0.722588
0.0,511,0.888365
1.0,714,1.073573
0.0,507,1.204627
3.0,1102,1.475308
0.0,500,1.603988
1.0,719,1.797031
2.0,826,1.993906
1.0,616,2.13913
3.0,1016,2.380033
2.0,824,2.57001
1.0,714,2.733818
1.0,631,2.895684
5.0,1422,3.23977
1.0,716,3.41184
0.0,529,3.55593
1.0,709,3.730902
3.0,1087,4.003841
0.0,528,4.134901
0.0,541,4.269288
1.0,701,4.449631
2.0,807,4.668823
2.0,876,4.88356
0.0,540,5.011659
0.0,520,5.132209
0.0,535,5.274105
2.0,811,5.482821
0.0,525,5.621351
5.0,1313,6.071963
0.0,523,6.25065
2.0,838,6.445864
1.0,687,6.652995
5.0,1322,6.967812
5.0,1483,7.343604
0.0,517,7.46611
1.0,729,7.638611
1.0,688,7.799464
1.0,633,7.950727
1.0,643,8.100343
1.0,696,8.257375
1.0,695,8.425462
0.0,531,8.548674
3.0,1028,8.782336
1.0,625,8.933845
1.0,716,9.103112
1.0,720,9.270616
3.0,1010,9.527797
0.0,514,9.674313
0.0,539,9.806911
2.0,895,10.014289
2.0,841,10.220722
0.0,536,10.344702
3.0,1111,10.60678
1.0,720,10.780727
1.0,698,10.953138
3.0,1008,11.18776
1.0,648,11.342461
3.0,1018,12.896255
2.0,848,13.097091
0.0,516,13.220673
0.0,510,13.342517
2.0,886,13.565282
6.0,1124,13.833951
1.0,613,14.021259
0.0,523,14.144284
0.0,513,14.271253
0.0,523,14.389503
7.0,1306,14.691813
1.0,717,14.861226
1.0,696,15.02065
2.0,826,15.21182
10.0,1912,15.656483
0.0,535,15.781943
2.0,743,15.958733
1.0,632,16.142606
3.0,1014,16.370203
1.0,626,16.526564
4.0,1300,16.819136
2.0,819,17.003305
0.0,512,17.124197
0.0,535,17.252115
0.0,523,17.369118
1.0,703,17.551157
0.0,519,17.671338
1.0,710,17.848236
0.0,532,17.973185
4.0,1150,18.241256
0.0,529,18.366374
1.0,694,18.534556
3.0,943,18.760593
3.0,1035,19.002544
5.0,1310,19.291914
0.0,514,19.417446
0.0,494,19.528022
2.0,909,19.733605
1.0,655,19.889599
0.0,520,20.015625
2.0,771,20.198517
1.0,715,20.365305
0.0,516,20.481297
0.0,518,20.596299
4.0,1130,20.850631
1.0,644,21.014199
1.0,693,21.174481
3.0,1112,21.421565
0.0,507,21.534898
4.0,1204,21.806168
1.0,708,21.969277
0.0,509,22.086318
2.0,912,22.330429
2.0,799,22.527681
3.0,1020,22.770792
0.0,526,22.922506
3.0,895,23.123272
2.0,828,24.176697
3.0,1116,24.429
0.0,507,24.551867
0.0,525,24.672843
1.0,655,24.853252
0.0,535,24.981065
13.0,1898,25.429503
0.0,517,25.553144
0.0,539,25.67943
2.0,910,25.887233
3.0,1005,26.126132
1.0,701,26.288751
0.0,518,26.412685
1.0,718,26.570974
0.0,510,26.691618
0.0,527,26.83642
2.0,919,27.061631
1.0,641,27.212112
3.0,1096,27.467912
0.0,527,27.586764
3.0,1038,27.832397
1.0,715,27.993033
0.0,541,28.115891
0.0,529,28.239819
0.0,513,28.354716
2.0,821,28.552173
2.0,732,28.750066
0.0,525,28.868791
3.0,1006,29.104403
5.0,1432,29.45013
5.0,1414,29.786623
1.0,724,29.953399
2.0,819,30.158185
4.0,1284,30.449786
1.0,624,30.590426
1.0,690,30.75294
0.0,525,30.875027
0.0,507,30.993249
1.0,710,31.159202
0.0,528,31.27895
5.0,1317,31.586077
0.0,523,31.703657
0.0,506,31.829028
2.0,913,32.043264
0.0,525,32.188653
0.0,528,32.317191
4.0,1131,32.580714
0.0,519,32.705649
5.0,1319,33.013741
3.0,1008,33.267715
3.0,1074,33.533499
2.0,898,33.741056
2.0,928,33.956604
0.0,531,34.080318
1.0,705,34.245265
1.0,704,34.412297
4.0,1280,35.536218
0.0,515,35.657379
0.0,525,35.778279
5.0,1412,36.105634
0.0,527,36.22526
1.0,701,36.387496
1.0,620,36.534503
1.0,632,36.692007
1.0,720,36.926142
1.0,629,37.086687
10.0,1771,37.493024
1.0,634,37.638006
1.0,695,37.796539
1.0,714,37.973403
0.0,524,38.10669
2.0,819,38.29667
0.0,520,38.419943
4.0,1278,38.724609
2.0,825,38.950523
1.0,632,39.119283
0.0,507,39.238226
5.0,1406,39.566427
0.0,524,39.705418
1.0,693,39.868146
1.0,690,40.025496
0.0,509,40.14612
2.0,809,40.331788
0.0,525,40.462825
0.0,520,40.584953
2.0,818,40.800006
0.0,521,40.927076
2.0,811,41.162821
0.0,537,41.287789
2.0,827,41.484193
3.0,909,41.69415
0.0,524,41.81505
0.0,496,41.934134
2.0,822,42.119004
0.0,512,42.243668
0.0,516,42.361973
6.0,1518,42.706204
0.0,541,42.83461
3.0,1048,43.074359
2.0,818,43.264505
0.0,504,43.388235
2.0,922,43.60915
2.0,810,43.832363
0.0,531,43.968731
4.0,1298,44.281906
1.0,631,44.426591
3.0,1090,44.678898
0.0,535,44.809103
2.0,906,45.018606
0.0,537,45.142499
5.0,1107,45.399747
5.0,1334,45.711181
0.0,533,45.838534
2.0,829,46.815356
2.0,902,47.022536
0.0,535,47.148679
3.0,954,47.383618
1.0,696,47.549875
1.0,696,47.72429
0.0,521,47.862342
2.0,748,48.063466
0.0,525,48.188413
0.0,527,48.315102
0.0,521,48.434761
3.0,1029,48.677587
1.0,707,48.846305
0.0,531,48.974016
5.0,1253,49.263307
1.0,706,49.422844
5.0,1414,49.745417
5.0,1394,50.068789
0.0,541,50.192328
4.0,1075,50.443987
1.0,701,50.614532
2.0,902,50.843419
0.0,542,50.969478
0.0,506,51.093839
0.0,519,51.212314
0.0,536,51.355023
5.0,1428,51.680347
2.0,817,51.872277
0.0,525,51.99427
2.0,816,52.184879
1.0,700,52.351907
1.0,701,52.526745
0.0,531,52.65236
2.0,831,52.841317
2.0,796,53.036504
0.0,516,53.156296
0.0,512,53.27525
3.0,1026,53.513345
0.0,508,53.632852
0.0,535,53.761674
0.0,535,53.901751
2.0,741,54.088992
1.0,717,54.28707
5.0,1210,54.586842
2.0,834,54.792505
0.0,538,54.924237
2.0,825,55.124455
0.0,525,55.254215
0.0,524,55.383194
3.0,1008,55.641872
3.0,1018,55.903121
0.0,527,56.043899
4.0,1134,56.309382
0.0,528,56.435842
1.0,697,56.609901
4.0,1215,56.923912
0.0,509,57.057857
1.0,716,57.276106
0.0,524,58.346032
3.0,937,58.563436
1.0,715,58.726608
2.0,911,58.946515
2.0,822,59.142833
0.0,536,59.268133
2.0,836,59.471633
0.0,537,59.629668
2.0,909,59.858343
2.0,799,60.134256
0.0,511,60.280636
0.0,501,60.412606
1.0,701,60.614728
1.0,628,60.795681
3.0,1008,61.064629
4.0,1204,61.366276
2.0,884,61.570284
0.0,523,61.690631
0.0,524,61.811982
4.0,1116,62.063979
0.0,527,62.189666
5.0,1400,62.51255
7.0,1741,62.971421
0.0,521,63.098136
1.0,705,63.269636
0.0,532,63.403997
1.0,715,63.63588
0.0,504,63.781585
0.0,522,63.926846
0.0,513,64.054325
2.0,833,64.276981
3.0,997,64.507016
0.0,529,64.632774
0.0,534,64.76526
3.0,1027,65.019885
0.0,515,65.176579
3.0,1088,65.45469
1.0,698,65.64163
3.0,1097,65.949207
0.0,509,66.104054
8.0,1502,66.47186
0.0,499,66.597021
3.0,1012,66.849897
2.0,912,67.06503
0.0,508,67.185873
2.0,816,67.377863
3.0,1106,67.644639
3.0,1016,67.916495
3.0,1018,68.166279
0.0,528,68.289267
1.0,717,68.460603
1.0,648,68.644417
0.0,519,68.777475
2.0,905,69.006071
5.0,1490,69.359353
3.0,934,70.377535
4.0,1086,70.631831
0.0,516,70.751544
1.0,652,70.901326
2.0,845,71.142966
0.0,516,71.264415
2.0,898,71.473005
0.0,524,71.595621
1.0,712,71.766901
2.0,759,71.964761
1.0,696,72.143405
1.0,636,72.298394
3.0,1010,72.548579
0.0,511,72.676552
0.0,523,72.801199
8.0,1422,73.146839
0.0,504,73.26563
1.0,717,73.436169
3.0,1006,73.679265
2.0,898,73.909725
1.0,704,74.076636
1.0,709,74.244264
4.0,1142,74.54613
2.0,799,74.735109
0.0,534,74.86307
1.0,643,75.016023
0.0,504,75.142772
0.0,521,75.265453
2.0,817,75.465016
1.0,628,75.615536
0.0,533,75.738697
1.0,651,75.892056
0.0,526,76.013644
2.0,893,76.224829
0.0,521,76.351118
1.0,706,76.543946
2.0,932,76.760808
0.0,507,76.87823
2.0,824,77.072561
0.0,540,77.213778
1.0,651,77.366792
3.0,1093,77.618501
0.0,520,77.738962
2.0,819,77.946297
0.0,536,78.067708
3.0,951,78.300671
0.0,535,78.427127
0.0,543,78.57091
0.0,518,78.700184
3.0,1018,78.939703
2.0,893,79.149689
3.0,1010,79.393576
0.0,524,79.516455
0.0,499,79.654867
1.0,628,79.814303
1.0,639,79.968479
0.0,517,80.085915
10.0,1755,80.507863
0.0,520,80.633832
3.0,1082,80.912808
1.0,612,81.787771
1.0,698,81.952328
0.0,499,82.073179
1.0,723,82.252846
3.0,922,82.472775
0.0,513,82.60242
2.0,835,82.798638
0.0,537,82.919199
1.0,703,83.087581
1.0,619,83.25061
0.0,531,83.381673
0.0,515,83.529721
0.0,527,83.683142
3.0,928,83.955717
3.0,1010,84.23488
2.0,878,84.438511
0.0,513,84.558496
2.0,803,84.759284
1.0,698,84.938138
0.0,516,85.074107
10.0,1754,85.540982
2.0,828,85.729998
0.0,511,85.848575
0.0,539,85.979186
1.0,637,86.130658
0.0,525,86.261893
0.0,517,86.399379
10.0,1784,86.820465
0.0,507,86.938352
2.0,833,87.121895
0.0,533,87.263705
8.0,1534,87.632284
0.0,535,87.757409
0.0,520,87.875407
0.0,521,88.000113
3.0,934,88.256032
2.0,902,88.479236
0.0,533,88.600442
0.0,522,88.747068
0.0,514,88.867696
0.0,512,88.996197
1.0,636,89.159241
1.0,631,89.352934
2.0,835,89.540682
1.0,635,89.684879
3.0,1028,89.924479
0.0,513,90.044074
0.0,501,90.163393
1.0,697,90.336246
1.0,716,90.503767
2.0,818,90.693707
1.0,717,90.869041
1.0,644,91.041872
3.0,1044,91.308898
1.0,641,91.463005
3.0,930,91.698561
8.0,1502,92.047352
1.0,727,92.216747
6.0,1533,93.426206
0.0,523,93.553203
0.0,536,93.697656
0.0,514,93.831587
0.0,506,93.95948
5.0,1250,94.280606
1.0,697,94.453848
2.0,760,94.649765
4.0,1210,94.970206
0.0,517,95.100119
1.0,714,95.27228
0.0,511,95.39525
3.0,1099,95.670529
1.0,728,95.835873
0.0,524,95.967163
1.0,717,96.136146
0.0,542,96.259887
1.0,708,96.437786
1.0,723,96.609044
0.0,522,96.731035
3.0,937,96.962718
0.0,531,97.088747
3.0,1094,97.351272
3.0,1116,97.625543
0.0,509,97.743586
0.0,515,97.861162
1.0,727,98.028545
1.0,644,98.17734
2.0,820,98.402409
2.0,912,98.621112
0.0,519,98.746295
1.0,686,98.910485
1.0,702,99.098608
0.0,513,99.224103
2.0,755,99.406172
0.0,527,99.544998
0.0,527,99.676677
4.0,1215,99.959652
0.0,507,100.088167
0.0,511,100.215481
1.0,731,100.393948
0.0,527,100.521496
2.0,874,100.734518
0.0,527,100.874962
3.0,1080,101.133436
0.0,537,101.27379
2.0,891,101.480408
2.0,834,101.674788
2.0,760,101.8734
2.0,827,102.074133
0.0,516,102.205113
0.0,529,102.329868
1.0,629,102.489622
3.0,1108,102.764643
0.0,530,102.894763
0.0,517,103.027624
1.0,699,103.195354
1.0,645,103.354825
3.0,1100,103.616469
0.0,492,103.739329
3.0,945,104.007674
1.0,720,104.196554
0.0,525,105.310214
3.0,1019,105.559689
3.0,998,105.813723
3.0,1003,106.063199
1.0,641,106.229276
0.0,520,106.366416
0.0,518,106.533267
2.0,819,106.781088
1.0,703,107.00026
0.0,527,107.156055
0.0,541,107.288456
0.0,532,107.424253
1.0,702,107.594265
0.0,516,107.726476
0.0,531,107.849419
0.0,512,107.969517
1.0,621,108.122623
0.0,522,108.251024
0.0,523,108.410568
0.0,540,108.557748
0.0,521,108.717521
0.0,524,108.848965
2.0,902,109.07531
4.0,1277,109.438458
1.0,631,109.655766
1.0,693,109.81587
1.0,715,110.017811
0.0,517,110.14283
0.0,507,110.262468
1.0,615,110.401779
0.0,520,110.524602
3.0,1036,110.784667
0.0,541,110.911265
1.0,709,111.08713
0.0,514,111.214873
4.0,1058,111.489112
0.0,529,111.614107
0.0,513,111.768012
2.0,901,111.987489
0.0,509,112.131435
3.0,1006,112.394422
1.0,694,112.574843
1.0,622,112.723529
2.0,826,112.931304
2.0,896,113.151603
0.0,529,113.279567
0.0,528,113.409074
0.0,528,113.539733
0.0,515,113.693759
1.0,723,113.873249
3.0,1021,114.115347
2.0,808,114.324361
0.0,511,114.484755
0.0,525,114.635431
2.0,830,114.859306
1.0,703,115.091573
2.0,919,115.346331
2.0,824,115.559965
0.0,531,115.687629
1.0,704,115.893824
1.0,688,116.063354
2.0,828,116.293337
0.0,511,116.4199
2.0,826,116.620431
2.0,830,116.827192
0.0,533,118.265357
0.0,516,118.864929
0.0,517,119.483584
0.0,509,120.079259
1.0,697,120.89639
5.0,1416,122.727312
3.0,1101,124.1475
0.0,534,124.764178
5.0,1404,126.59969
3.0,1028,127.884752
0.0,519,128.497292
6.0,1509,130.473581
3.0,959,131.688634
2.0,891,132.812998
2.0,810,133.824507
1.0,635,134.618285
1.0,722,135.446017
0.0,500,136.122262
0.0,511,136.868441
1.0,632,137.619393
0.0,512,138.22808
2.0,821,139.442168
1.0,739,140.380278
0.0,528,140.944749
0.0,532,141.568382
0.0,513,142.252257
0.0,531,142.823668
2.0,811,143.763172
0.0,542,144.494416
0.0,517,145.109961
3.0,922,146.239197
