#{"t_start": 1702937549.7738216, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
190.0,1881,1.870113
230.0,1905,2.579639
290.0,2209,3.497486
360.0,2825,4.512505
290.0,2129,5.258731
210.0,1865,5.921327
270.0,1609,6.491683
230.0,1953,7.182986
270.0,2081,7.924966
250.0,1945,8.619254
420.0,2465,9.495303
510.0,2417,10.352534
190.0,1657,10.960913
160.0,1513,11.508504
300.0,2017,12.254313
260.0,2225,13.060722
310.0,1841,13.725586
260.0,1985,14.443703
240.0,2065,15.174342
240.0,2009,20.302236
270.0,2177,21.072908
240.0,1945,21.781139
180.0,1841,22.443582
260.0,1969,23.162618
180.0,1601,23.747733
190.0,1865,24.432382
230.0,1809,25.096416
280.0,2025,25.814376
270.0,1857,26.482733
230.0,1937,27.166696
360.0,1953,27.861465
210.0,1961,28.573503
220.0,1737,29.198505
160.0,1713,29.816635
290.0,1793,30.470773
150.0,1745,31.09674
310.0,1825,31.779299
310.0,2081,32.529258
250.0,2081,33.270003
110.0,1409,33.768851
390.0,2785,34.770355
210.0,1713,38.675363
310.0,2113,39.427292
230.0,1777,40.056341
180.0,2113,40.803652
240.0,2225,41.590569
90.0,1625,42.168548
260.0,1977,42.875438
270.0,2617,43.858356
120.0,1505,44.397861
280.0,1969,45.101449
270.0,2153,45.871338
200.0,1625,46.471625
280.0,2073,47.217556
190.0,1785,47.880599
260.0,1993,48.614721
160.0,1809,49.281662
240.0,1921,49.975572
230.0,1969,50.675026
220.0,2041,51.398019
130.0,1905,52.081219
80.0,1217,52.516537
170.0,2105,56.758079
230.0,1825,57.402843
210.0,2041,58.142307
230.0,1825,58.791474
210.0,1641,59.381545
190.0,1833,60.05672
230.0,2017,60.780782
170.0,1401,61.291195
610.0,3081,62.419207
170.0,1617,62.99466
220.0,2001,63.703208
260.0,1521,64.242951
210.0,1889,64.951622
290.0,2129,65.759166
220.0,2001,66.509705
230.0,1985,67.23596
250.0,1953,67.938681
230.0,2233,68.741426
200.0,1601,69.311508
210.0,2113,70.07054
1800.0,2881,74.852659
240.0,2265,75.661686
660.0,2817,76.665071
200.0,1937,77.350277
240.0,1969,78.047974
540.0,3081,79.1501
170.0,1905,79.828343
200.0,1929,80.52143
160.0,2001,81.238037
330.0,2057,81.984357
230.0,2145,82.758199
160.0,1969,83.463341
240.0,1905,84.199225
160.0,1689,84.831894
150.0,1737,85.474861
180.0,1953,86.178973
480.0,2569,87.115863
260.0,2281,87.937978
160.0,1761,88.573094
160.0,1833,92.438072
360.0,2305,93.267759
250.0,1961,93.973219
140.0,1497,94.510319
220.0,1753,95.142658
250.0,2105,95.898723
230.0,1945,96.608728
410.0,2289,97.449793
190.0,1737,98.082168
580.0,2969,99.177188
210.0,1585,99.750524
220.0,2065,100.496039
270.0,2089,101.250401
130.0,1825,101.906122
290.0,2329,102.741811
270.0,1793,103.398935
140.0,1665,103.996898
210.0,2001,104.719473
270.0,2073,105.461795
430.0,2753,106.463072
370.0,2561,110.709118
250.0,1961,111.409412
190.0,1753,112.041989
90.0,1489,112.592285
200.0,2073,113.351168
220.0,1689,113.96763
210.0,1793,114.645537
270.0,1953,115.363027
230.0,1881,116.037744
240.0,1745,116.665768
190.0,1497,117.194356
270.0,1745,117.820655
240.0,1953,118.525299
140.0,1881,119.196201
140.0,1665,119.78438
120.0,1585,120.351636
290.0,2113,121.109854
320.0,2289,121.953364
230.0,1913,122.658049
190.0,2153,123.437291
260.0,2009,124.150851
290.0,1953,124.856385
200.0,2305,128.874223
170.0,2145,129.650809
180.0,1761,130.299311
150.0,1681,130.932605
1000.0,2513,131.852937
200.0,2257,132.675457
240.0,1873,133.364364
290.0,2161,134.164277
250.0,2225,134.979989
170.0,1769,135.626554
190.0,1857,136.300292
200.0,2001,137.012824
470.0,2873,138.051079
210.0,2313,138.889319
170.0,1833,139.543779
180.0,1689,140.149699
350.0,2873,141.18009
540.0,2377,142.029243
200.0,1961,142.729069
420.0,2337,147.035643
250.0,1921,147.738381
240.0,1681,148.350802
230.0,1641,148.935435
100.0,1577,149.496394
200.0,1625,150.080406
190.0,2737,151.073183
240.0,2529,151.985841
230.0,2193,152.777873
200.0,1977,153.487762
250.0,2001,154.210328
250.0,1937,154.905596
210.0,2289,155.724217
350.0,2009,156.447434
210.0,2081,157.202655
170.0,1873,157.895628
240.0,1969,158.622655
200.0,1561,159.195785
320.0,1881,159.887829
180.0,1809,160.536959
380.0,1921,164.055169
150.0,1625,164.648168
180.0,2009,165.375267
270.0,1857,166.050446
240.0,1641,166.646027
250.0,1953,167.347631
260.0,2065,168.087366
270.0,2361,168.933387
150.0,1897,169.604155
290.0,1817,170.277717
270.0,2489,171.192632
220.0,1713,171.829041
480.0,2809,172.842252
210.0,1809,173.489258
230.0,2121,174.256871
190.0,1753,174.925902
110.0,1313,175.416556
200.0,1617,176.01165
190.0,1657,176.612661
190.0,1777,177.239697
190.0,1881,177.914515
180.0,1825,183.093241
310.0,2097,186.282692
380.0,2385,189.884863
210.0,1825,192.613726
210.0,1929,195.519863
200.0,1713,198.065365
270.0,2657,202.009073
200.0,1729,204.572027
240.0,2129,207.767755
210.0,1913,210.605529
200.0,1809,213.288716
240.0,1977,216.226879
300.0,2193,219.464622
790.0,2713,223.529941
590.0,3249,228.445237
130.0,1697,230.973852
930.0,4089,237.144215
250.0,1753,239.770388
260.0,1673,242.235291
240.0,1921,248.729774
190.0,1505,250.96636
310.0,1929,253.852662
300.0,2121,257.070258
320.0,2121,260.228231
210.0,1977,263.165162
200.0,1601,265.525419
360.0,2449,269.183597
180.0,1625,271.616459
220.0,1961,274.541181
190.0,1465,276.715618
410.0,2081,279.820487
250.0,2097,282.99407
230.0,2121,286.14863
350.0,1761,288.737597
240.0,1841,291.484157
180.0,1617,293.911255
250.0,2113,297.086896
300.0,1889,299.873216
260.0,1929,302.725128
250.0,1553,305.032077
280.0,2057,311.823514
190.0,1329,313.765152
290.0,2433,317.41123
300.0,1849,320.203788
200.0,1705,322.770305
290.0,2121,325.949207
360.0,2049,329.019517
320.0,2153,332.33524
190.0,2057,335.390932
270.0,2097,338.592969
210.0,1577,340.92704
1130.0,3201,345.795539
300.0,2625,349.755521
290.0,1745,352.364012
320.0,2113,355.608403
400.0,2249,358.999759
