#{"t_start": 1702902882.821098, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3056,1.0508
-21.0,3174,1.787536
-20.0,4199,2.653462
-20.0,3675,3.41249
-20.0,3367,4.10861
-20.0,4141,4.958994
-21.0,3536,5.670895
-20.0,3613,6.400766
-20.0,4315,7.284237
-21.0,3832,8.074335
-21.0,3412,12.901147
-21.0,3408,13.612768
-20.0,3549,14.350872
-19.0,4327,15.236162
-21.0,4268,16.111356
-19.0,3748,16.888452
-19.0,4477,17.803987
-21.0,3772,18.573234
-20.0,3708,19.340402
-21.0,3296,20.033642
-19.0,3947,20.851821
-21.0,3611,25.295309
-21.0,3280,26.003967
-20.0,4017,26.838261
-20.0,3850,27.634427
-21.0,3540,28.379225
-21.0,3492,29.112432
-21.0,3408,29.824471
-20.0,3683,30.648604
-21.0,3365,31.397913
-21.0,3536,32.183811
-20.0,3762,33.022274
-20.0,3783,37.065337
-21.0,3432,37.783995
-19.0,4437,38.770101
-19.0,3748,39.585046
-20.0,3479,40.355446
-21.0,3648,41.115024
-21.0,3056,41.748626
-21.0,3245,42.423881
-19.0,4282,43.314242
-20.0,4151,44.181356
-20.0,3950,45.009038
-21.0,3768,49.480654
-21.0,3760,50.250934
-20.0,4016,51.085943
-20.0,3719,51.86091
-20.0,3682,52.616843
-21.0,3168,53.277703
-20.0,3992,54.10141
-20.0,3373,54.795069
-19.0,4323,55.685221
-20.0,3949,56.501805
-21.0,3485,57.234778
-20.0,3852,61.80622
-21.0,3131,62.459144
-21.0,3300,63.18297
-21.0,3296,63.884088
-20.0,3549,64.677172
-20.0,3915,65.557754
-21.0,3056,66.201877
-20.0,4840,67.228945
-21.0,3618,67.969105
-20.0,3903,68.779084
-20.0,3808,69.577317
-20.0,3961,74.272363
-20.0,3687,75.027661
-20.0,4095,75.871894
-21.0,3491,76.609215
-20.0,3773,77.457021
-20.0,4071,78.354118
-20.0,3367,79.094451
-20.0,4191,80.011927
-19.0,3975,80.864845
-21.0,3056,81.539086
-20.0,3479,86.289413
-20.0,3945,87.125984
-21.0,3892,87.927799
-20.0,3844,88.706233
-20.0,4334,89.596703
-21.0,3056,90.228199
-20.0,4094,91.075435
-21.0,3652,91.879636
-20.0,3442,92.621555
-21.0,3128,93.345548
-20.0,3628,94.128648
-21.0,3726,98.739091
-20.0,3512,99.471326
-20.0,3348,100.214067
-20.0,4913,101.313777
-19.0,4298,102.305969
-21.0,3371,103.024613
-21.0,3656,103.855545
-21.0,4256,104.753718
-19.0,3746,105.620558
-21.0,3422,106.339992
-21.0,3056,107.024847
-20.0,4628,111.788981
-20.0,3348,112.478949
-20.0,4405,113.43205
-20.0,3799,114.246879
-17.0,4908,115.260723
-21.0,3168,115.912672
-20.0,3560,116.651763
-20.0,3721,117.506616
-21.0,3300,118.235257
-21.0,3652,119.046089
-19.0,3977,124.803271
-20.0,4227,129.874548
-21.0,3760,134.345654
-21.0,3320,138.218789
-21.0,3168,142.185601
-21.0,3987,146.681588
-21.0,3780,151.032502
-20.0,3682,155.337641
-20.0,4203,159.889841
-21.0,3317,163.833691
-21.0,3782,168.244249
-21.0,4521,177.276072
-20.0,4171,182.027521
-17.0,5004,188.063978
-20.0,4090,192.746474
-20.0,3928,197.713914
-20.0,3610,201.923781
-21.0,3131,205.632545
-20.0,4096,210.664714
-21.0,3245,214.30723
-21.0,3056,217.716105
-19.0,4051,226.54182
-20.0,4411,231.882726
-20.0,3485,235.878462
-19.0,4456,241.311248
-20.0,3607,245.443345
-19.0,3864,250.127585
-21.0,3540,254.151987
-20.0,3926,258.807878
-19.0,4223,263.648813
-20.0,3945,268.235554
-20.0,3460,272.412508
-18.0,4413,281.047959
-20.0,3949,285.666852
-19.0,4087,290.409509
-20.0,3921,294.86385
-21.0,3520,298.811049
-21.0,3424,302.807646
-21.0,3837,307.13149
-21.0,3412,310.899598
-20.0,3484,314.824264
-21.0,3652,318.974034
-20.0,4323,327.930601
-21.0,3373,331.827434
-19.0,4302,337.077845
-20.0,4405,341.962395
-20.0,3907,346.348794
-21.0,3408,350.258952
-20.0,4781,355.696696
-20.0,3677,360.224066
-20.0,4147,364.934952
-20.0,4215,369.732554
-20.0,3924,378.079142
-20.0,3849,382.324281
-21.0,3368,386.154635
-21.0,3296,389.941291
-21.0,3536,394.262333
-20.0,3689,398.467012
-21.0,3243,402.144854
-21.0,3611,406.184265
-20.0,3373,410.012137
-19.0,3757,414.63485
-21.0,4232,419.642811
-21.0,3656,427.968068
-20.0,3828,432.385283
-20.0,4322,437.415515
-20.0,3855,442.44681
-21.0,3536,446.581794
-20.0,3677,450.856067
-20.0,4089,455.832031
-20.0,4180,460.873919
-20.0,4095,465.803056
-21.0,3613,470.167089
-21.0,3376,474.24035
-21.0,4040,482.828921
-19.0,3792,487.332848
-21.0,3243,491.179901
-21.0,4137,496.208803
-20.0,5057,502.263567
-19.0,4741,507.925279
-19.0,3746,512.449204
-20.0,4511,517.843458
-20.0,4364,523.076755
-20.0,4439,532.888034
-18.0,4173,537.762707
-17.0,4983,543.58336
-21.0,4343,548.758044
-21.0,3792,553.388946
-21.0,3168,557.212267
-21.0,3725,561.632981
-20.0,3948,566.345115
-21.0,3288,570.273393
-19.0,4415,575.472711
-21.0,3168,579.260648
-21.0,3408,587.613469
-18.0,4828,593.489976
-20.0,3900,598.271281
-19.0,4441,603.700376
-21.0,3837,608.36294
-19.0,3934,613.162437
-20.0,3916,617.929522
-19.0,4190,623.0543
-21.0,3304,627.182228
-19.0,4636,632.686284
-18.0,4831,642.811447
-21.0,3648,647.182784
-19.0,4276,652.331206
-20.0,4898,658.337951
-20.0,4518,663.733562
-19.0,4758,669.316568
-21.0,4014,674.00913
-21.0,3784,678.529235
-18.0,4763,684.084993
-21.0,3416,692.92126
-18.0,4369,698.421081
-19.0,4404,703.373653
-21.0,4397,708.444944
-19.0,4294,713.289975
-20.0,3624,717.365519
-18.0,4809,723.010949
-21.0,4032,727.577405
-20.0,4011,732.063201
-20.0,3957,736.507213
-19.0,4475,745.781721
-21.0,4396,750.792178
-20.0,3708,754.946939
-18.0,4856,760.414809
-21.0,4616,765.578136
-20.0,4281,770.477769
-19.0,4210,775.556228
-21.0,3586,779.640348
-19.0,4210,784.511863
-21.0,4193,794.49519
-17.0,4731,799.807334
-21.0,3612,803.89721
-19.0,4763,809.717808
-21.0,3128,813.075023
-21.0,3760,817.249965
-20.0,3915,821.542171
-19.0,5322,827.593513
-20.0,3913,831.933626
-21.0,4419,836.948135
-20.0,4287,846.432257
-18.0,5202,852.445417
-19.0,4484,857.535859
-21.0,4000,862.148733
-20.0,4193,867.293823
-20.0,3932,871.547522
-19.0,4666,877.24598
-19.0,4104,881.952668
-21.0,3420,885.816122
-20.0,3723,894.807524
-19.0,3733,899.480117
-19.0,5180,905.222368
