#{"t_start": 1702959915.9815655, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
260.0,2571,2.310748
75.0,1161,2.841865
180.0,1781,3.767449
60.0,1569,4.43936
390.0,3705,5.985425
125.0,2009,6.840122
225.0,3165,8.217249
35.0,1025,8.661669
165.0,2239,9.628078
240.0,2843,10.821548
75.0,1889,11.620818
370.0,2563,12.693862
50.0,1771,13.442107
120.0,2083,14.327169
130.0,2137,15.244561
225.0,2545,16.310304
55.0,1227,16.835383
120.0,1827,17.608299
155.0,2259,18.536277
135.0,1955,25.864641
120.0,1773,26.620395
165.0,2337,27.614091
80.0,1565,28.276336
180.0,2273,29.21771
515.0,3595,30.701823
110.0,1949,31.502873
120.0,1187,32.008203
215.0,2601,33.12343
120.0,1611,33.823919
170.0,2811,35.019936
80.0,1533,35.684408
110.0,1581,36.355047
180.0,2449,37.373631
285.0,2677,38.493263
135.0,1599,39.176496
135.0,1649,39.874692
105.0,1261,40.41508
45.0,1207,40.923989
150.0,1905,41.720043
215.0,2375,47.057324
105.0,1315,47.624036
180.0,2729,48.781176
35.0,1185,49.278636
80.0,1263,49.812572
105.0,1985,50.65569
120.0,1843,51.422235
75.0,1199,51.936971
155.0,1701,52.671298
355.0,2295,53.625889
105.0,1377,54.206767
60.0,1137,54.679505
215.0,2339,55.670768
85.0,1581,56.348032
80.0,1881,57.161302
150.0,2171,58.119991
125.0,2407,59.189707
50.0,1759,59.950264
120.0,1865,60.742412
35.0,1209,61.257161
100.0,1827,62.029742
225.0,2739,63.182078
65.0,1733,63.922827
135.0,1887,68.964206
220.0,2345,69.970676
120.0,2153,70.910199
30.0,1773,71.696341
80.0,1669,72.428243
110.0,1653,73.153404
65.0,1163,73.657982
135.0,2063,74.545152
285.0,2923,75.787353
180.0,1997,76.63584
210.0,1921,77.446993
170.0,2745,78.581949
165.0,1771,79.32684
155.0,2055,80.172933
135.0,1927,80.989875
80.0,1663,81.699498
45.0,1149,82.199741
410.0,2435,83.241499
65.0,1717,83.979615
75.0,1659,84.69357
35.0,1459,85.315585
180.0,2479,90.941948
70.0,1749,91.676225
50.0,1509,92.311967
165.0,2189,93.229203
135.0,2801,94.400762
110.0,1759,95.156275
245.0,3139,96.474599
15.0,1295,97.025964
135.0,2059,97.889777
120.0,1759,98.645084
180.0,2501,99.709053
65.0,2043,100.579292
120.0,1799,101.341924
55.0,1329,101.916916
365.0,3787,103.48044
135.0,1747,104.226799
75.0,1771,104.976082
180.0,2861,106.169041
105.0,2293,107.144331
45.0,1221,107.671315
165.0,2609,112.608468
135.0,1579,113.288409
65.0,1817,114.0686
35.0,1587,114.73586
70.0,1197,115.231261
90.0,1473,115.865571
70.0,1207,116.370476
105.0,1887,117.175852
210.0,2281,118.12942
255.0,2787,119.316256
170.0,2363,120.342203
120.0,2013,121.204861
320.0,2227,122.149709
300.0,3169,123.475756
355.0,2773,124.6492
150.0,1979,125.494452
135.0,2113,126.401364
110.0,1883,127.183411
55.0,1245,127.706484
155.0,2509,128.761393
155.0,2399,134.687187
430.0,3041,135.948385
205.0,2415,136.983084
140.0,1591,137.66625
290.0,2385,138.673808
