#{"t_start": 1702918107.7736948, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,509,4.970834
2.0,893,9.496584
0.0,539,12.010684
0.0,533,14.523615
4.0,1202,22.995981
10.0,1740,31.609421
0.0,523,36.363708
0.0,527,39.078382
0.0,532,41.579334
0.0,512,43.94645
5.0,1399,53.163306
2.0,813,57.387442
2.0,825,61.266146
1.0,642,66.272776
0.0,529,68.751328
6.0,1588,76.730822
0.0,513,80.87977
0.0,512,83.396393
3.0,1014,88.384926
2.0,849,92.014942
4.0,1205,100.224
2.0,895,104.083206
2.0,812,108.432385
1.0,641,114.352996
0.0,525,116.828933
0.0,519,119.181772
4.0,1212,128.119915
2.0,810,131.595938
1.0,703,134.631639
0.0,524,136.907009
8.0,2010,149.994953
5.0,1195,155.587026
1.0,643,162.173446
3.0,860,166.426797
11.0,1111,171.495459
9.0,1644,182.34879
12.0,1223,191.236562
5.0,1353,198.078182
7.0,999,202.766845
12.0,1984,215.361164
5.0,1352,226.878721
14.0,1507,234.299092
4.0,1291,243.945199
13.0,1358,250.514332
13.0,2274,266.389017
7.0,1011,275.484028
14.0,1918,284.347998
7.0,1641,297.996783
22.0,2864,316.396003
4.0,980,321.333738
9.0,1776,333.707248
7.0,1644,346.490185
6.0,1531,353.766976
8.0,1878,368.144339
8.0,1796,383.061876
9.0,1943,392.530702
19.0,2431,408.769974
8.0,1802,421.922749
10.0,2177,436.715672
6.0,1455,447.719199
5.0,1177,453.253414
7.0,1573,464.39926
15.0,1747,471.933031
14.0,2222,486.303669
15.0,2135,500.395898
8.0,1695,512.952559
14.0,2416,528.7524
20.0,2066,538.014004
7.0,1508,549.427295
17.0,2645,567.115462
13.0,2615,583.386415
12.0,2298,598.564291
15.0,2396,615.017495
11.0,2271,630.763162
11.0,2096,640.455459
10.0,1508,652.68965
11.0,2138,668.204049
13.0,2374,683.598334
14.0,2133,699.310245
9.0,1327,705.827263
21.0,2421,722.926291
15.0,2914,743.465554
7.0,1510,757.436016
19.0,1717,765.205003
13.0,2127,780.965686
14.0,2649,800.990935
17.0,2031,817.786349
11.0,2402,836.055025
16.0,1826,851.189129
13.0,2465,869.559717
16.0,2202,879.452877
12.0,2439,897.027148
14.0,2282,915.459225
12.0,1931,930.289547
13.0,2247,946.826574
16.0,2071,963.617099
21.0,2722,982.145748
19.0,2453,1000.432622
23.0,3215,1021.725772
15.0,2556,1040.387859
24.0,2434,1059.178079
13.0,2063,1075.327195
13.0,2493,1091.561114
11.0,2311,1108.369038
8.0,1857,1116.736337
26.0,2959,1136.50843
13.0,2448,1153.674037
6.0,1525,1168.143574
18.0,2676,1187.04592
12.0,2212,1203.544037
10.0,1929,1219.043977
19.0,2170,1235.076414
28.0,2716,1256.138598
12.0,1641,1263.629018
17.0,2674,1283.576447
20.0,2912,1303.315713
8.0,2030,1318.179924
11.0,2125,1334.723301
21.0,2682,1353.358147
12.0,2481,1371.515332
29.0,3451,1392.911558
17.0,2679,1412.736293
22.0,2944,1442.898258
21.0,2727,1462.610158
19.0,2666,1480.594942
30.0,3931,1506.107425
28.0,3136,1527.629886
16.0,2943,1555.210229
31.0,3458,1577.695325
51.0,4385,1613.032413
22.0,2948,1635.159943
13.0,1878,1651.768793
33.0,4095,1677.537976
22.0,2538,1694.9902
29.0,3086,1717.313406
22.0,3520,1750.077032
11.0,2151,1768.378374
21.0,2811,1789.364815
24.0,3165,1812.264502
28.0,2935,1834.042239
30.0,3959,1868.978505
13.0,1357,1874.79267
8.0,1797,1891.403235
25.0,3746,1917.309297
21.0,2802,1938.90469
36.0,3301,1970.704894
36.0,3177,1992.418807
31.0,3556,2020.141346
25.0,3112,2041.865942
20.0,2857,2067.269173
29.0,2915,2088.624265
10.0,1471,2095.468353
23.0,2482,2115.206105
29.0,3806,2146.156485
21.0,1599,2153.560627
30.0,2823,2174.459869
28.0,2511,2196.030169
31.0,2381,2218.63203
33.0,3122,2247.401744
16.0,1774,2255.896863
25.0,2654,2277.892788
17.0,2697,2298.609286
44.0,4344,2336.435453
17.0,2318,2353.2523
13.0,2403,2370.995994
25.0,3754,2400.800253
37.0,4334,2440.103709
19.0,2255,2458.984107
26.0,2702,2480.296105
31.0,3983,2514.050311
40.0,4651,2541.224172
35.0,4072,2576.102422
30.0,3250,2600.552453
26.0,3295,2635.385561
43.0,4860,2668.872051
41.0,4595,2711.447372
33.0,4452,2749.938813
42.0,4663,2793.1357
17.0,2696,2817.775254
52.0,4530,2859.285364
38.0,4541,2890.463141
13.0,2240,2911.424187
19.0,2045,2928.117875
20.0,2638,2947.099597
21.0,2030,2963.892
33.0,3683,2990.568384
17.0,2452,3010.963484
26.0,2627,3031.905648
22.0,2814,3052.025926
14.0,2083,3069.842103
42.0,4935,3111.873841
23.0,1919,3132.712595
18.0,3000,3158.611164
51.0,4867,3200.041736
33.0,3450,3225.258837
49.0,4881,3268.453875
43.0,4838,3312.099981
59.0,4771,3354.54233
41.0,3666,3394.050809
7.0,1631,3401.26615
19.0,2502,3422.968929
38.0,2790,3447.093839
60.0,4518,3490.608107
32.0,3549,3515.11096
34.0,3831,3553.995918
21.0,3135,3578.692303
33.0,4283,3621.331021
6.0,1287,3627.309738
51.0,4865,3672.760347
17.0,2838,3695.24706
48.0,3531,3733.101659
19.0,2607,3755.783814
324.0,3036,3780.47035
71.0,5072,3820.891013
26.0,3332,3849.286596
40.0,4811,3891.824397
33.0,3984,3924.477952
31.0,4138,3953.254363
56.0,5381,4002.740211
62.0,4860,4045.861808
14.0,2059,4064.14528
32.0,3767,4103.277058
13.0,2073,4113.307066
7.0,1750,4130.84192
46.0,4133,4170.843952
38.0,3687,4198.376259
30.0,2479,4217.942661
66.0,4874,4263.966507
11.0,2029,4284.482213
43.0,4377,4331.710788
98.0,7110,4386.14928
46.0,4846,4430.533058
21.0,2568,4452.214502
80.0,5669,4503.149652
46.0,3895,4539.891887
21.0,3397,4564.039102
59.0,5183,4616.493001
46.0,4583,4663.42457
11.0,1465,4681.513758
21.0,3441,4708.254112
18.0,2722,4734.839801
94.0,5647,4783.490235
20.0,2231,4806.960805
16.0,2280,4832.94298
86.0,6278,4906.892771
43.0,4392,4937.883243
22.0,3615,4982.74963
92.0,6295,5034.411451
78.0,6538,5094.472352
79.0,5035,5137.744732
5.0,1272,5143.683823
63.0,4617,5190.896027
234.0,6870,5257.670037
10.0,2184,5278.870184
89.0,4984,5321.182361
103.0,5888,5369.004487
94.0,6062,5425.910873
191.0,4151,5465.672762
97.0,6609,5533.81276
51.0,4922,5580.476563
81.0,6216,5630.129073
80.0,4681,5674.261831
11.0,2015,5693.502603
223.0,6985,5751.679115
17.0,2798,5779.093354
41.0,3306,5812.701775
102.0,6392,5862.076213
201.0,5160,5907.508552
36.0,3741,5946.417004
50.0,4321,5988.666678
49.0,4489,6018.785229
62.0,3798,6051.052039
104.0,6853,6105.037576
88.0,6410,6171.511587
76.0,5658,6217.883003
14.0,2295,6238.638731
8.0,1500,6260.055161
126.0,5836,6313.240786
115.0,5950,6365.391898
283.0,5891,6434.481892
63.0,5321,6482.547742
19.0,2896,6509.052297
213.0,3910,6540.123534
80.0,5303,6609.271202
36.0,4543,6641.542037
31.0,3003,6676.787584
97.0,5369,6723.196366
152.0,6430,6777.471867
25.0,3514,6824.666012
280.0,7043,6882.645326
58.0,4668,6931.654987
39.0,3388,6968.874301
12.0,2222,6978.812837
54.0,5228,7026.36429
20.0,3518,7067.439525
13.0,2270,7088.83427
36.0,4535,7121.888692
44.0,3834,7155.340582
7.0,1436,7171.869359
8.0,1855,7179.68611
68.0,4548,7224.491664
44.0,4574,7268.790537
22.0,2543,7294.75353
26.0,2566,7317.668222
56.0,5293,7365.558509
351.0,7537,7433.150234
341.0,7221,7500.610955
25.0,3173,7528.292723
135.0,7147,7594.785423
5.0,1283,7600.069094
269.0,6422,7665.403623
17.0,2442,7687.704814
21.0,3504,7714.873837
11.0,1966,7734.385598
20.0,3310,7757.787391
46.0,4106,7794.968555
63.0,5499,7845.940543
92.0,6157,7900.751021
368.0,7657,7971.777144
46.0,4442,8017.258525
19.0,2646,8040.946881
40.0,3836,8087.489809
362.0,7300,8163.789099
61.0,4220,8200.356464
96.0,6328,8277.255659
51.0,4371,8331.849636
58.0,4593,8365.431884
29.0,3506,8407.835033
39.0,2960,8439.559642
52.0,4877,8492.889907
275.0,7838,8570.53474
68.0,5771,8628.49157
21.0,3228,8660.072077
347.0,7145,8742.883566
50.0,4501,8785.126342
74.0,5180,8840.482945
336.0,7977,8921.073643
21.0,2810,8949.772994
315.0,6744,9022.44253
347.0,6801,9097.374966
60.0,3773,9134.620048
332.0,7934,9205.604706
330.0,7993,9301.910482
60.0,4537,9334.116848
95.0,4545,9375.46909
17.0,2391,9400.883106
123.0,5700,9457.92977
59.0,4877,9505.051383
63.0,3902,9548.987239
23.0,2393,9573.584532
21.0,2466,9600.142196
122.0,5224,9652.798352
26.0,3283,9683.272297
22.0,3155,9716.177904
73.0,5262,9768.815119
121.0,6873,9841.914373
77.0,5973,9900.731672
81.0,4185,9946.355302
340.0,7828,10029.165663
39.0,2976,10055.875347
23.0,2750,10080.177665
331.0,7652,10162.752245
379.0,7046,10239.701949
49.0,3252,10262.957268
325.0,7367,10336.440827
35.0,3822,10377.898533
75.0,5619,10427.394111
48.0,4235,10470.517903
370.0,6927,10550.941008
34.0,3782,10578.197182
380.0,7325,10637.796351
112.0,5266,10684.149935
38.0,3678,10710.426652
90.0,5106,10749.679773
28.0,3458,10791.49451
251.0,6288,10846.967856
242.0,6948,10917.619699
17.0,2527,10942.380345
152.0,6238,11007.067879
8.0,1699,11014.286693
30.0,3791,11048.201698
356.0,9606,11137.594652
17.0,2704,11173.600656
114.0,6360,11231.908114
201.0,6360,11294.456162
374.0,7742,11379.646761
59.0,3398,11411.063328
26.0,3709,11441.739102
33.0,3769,11477.987802
43.0,4529,11521.526361
58.0,3340,11552.389744
40.0,4304,11604.271118
289.0,6870,11664.915524
128.0,6422,11733.737824
300.0,7354,11819.138598
351.0,7563,11894.885457
143.0,6104,11955.662973
340.0,7876,12038.315758
356.0,8925,12136.275312
55.0,4339,12183.937285
326.0,4765,12224.595589
38.0,4071,12273.199519
81.0,5452,12335.927137
368.0,9501,12449.734416
336.0,5702,12514.152863
329.0,7690,12598.440833
315.0,7518,12695.509555
424.0,10716,12823.06104
237.0,7220,12879.444036
22.0,3136,12929.731365
16.0,2120,12939.352876
364.0,7004,13033.456599
32.0,3621,13077.561493
372.0,7284,13156.651156
367.0,7634,13239.082634
177.0,7030,13300.893653
36.0,4774,13351.282135
59.0,4346,13400.601549
195.0,5033,13450.964903
44.0,4007,13485.282871
7.0,1652,13503.04114
83.0,5563,13558.803238
347.0,6184,13635.168547
313.0,6703,13691.65982
106.0,5921,13777.131663
149.0,6037,13832.550171
394.0,9034,13945.711043
377.0,6795,14013.293191
22.0,3052,14054.069509
350.0,6174,14116.878258
122.0,5647,14179.376739
12.0,2042,14208.104325
289.0,7896,14309.944018
39.0,3956,14417.731202
432.0,14954,14594.457846
381.0,7869,14686.905034
65.0,4701,14747.293438
394.0,16072,14917.54257
389.0,6883,14998.173425
387.0,8275,15072.634232
162.0,5247,15122.896065
370.0,8732,15230.918158
82.0,5710,15286.054252
347.0,6281,15342.40819
126.0,6266,15422.000297
15.0,2432,15446.759793
334.0,7141,15542.395624
391.0,9176,15649.543045
369.0,8601,15756.06972
124.0,6208,15814.87478
69.0,5587,15870.428786
48.0,3857,15927.148392
42.0,4372,15980.589244
46.0,3011,16011.78151
364.0,12906,16190.386968
97.0,5388,16251.758526
43.0,3365,16309.231221
27.0,3789,16359.762082
385.0,7788,16443.56293
396.0,9169,16578.494249
53.0,4198,16620.451181
404.0,9003,16751.86606
349.0,8074,16853.813506
416.0,17838,17075.583677
212.0,6467,17155.806493
305.0,7433,17256.81222
342.0,7373,17352.668254
241.0,7628,17440.011019
406.0,8189,17555.226751
368.0,8978,17703.63519
351.0,8420,17823.497821
32.0,3752,17860.384784
47.0,4002,17911.591673
321.0,6874,17981.988264
169.0,7012,18141.913094
21.0,2523,18173.00952
144.0,5975,18303.813466
421.0,8346,18401.177122
424.0,11105,18546.049503
91.0,5122,18606.7691
41.0,4110,18660.801177
361.0,7804,18753.482849
85.0,4573,18802.783087
32.0,3984,18834.102837
371.0,6102,18915.277639
334.0,6373,18981.625792
338.0,8254,19099.193104
394.0,9474,19197.89541
277.0,7919,19359.757582
95.0,5439,19429.990912
80.0,5230,19493.054384
209.0,6391,19573.175323
211.0,6449,19671.712489
199.0,7007,19758.114777
381.0,7001,19836.596969
25.0,3729,19895.178774
328.0,8097,19987.666173
111.0,5253,20071.045669
394.0,6280,20172.767101
357.0,7621,20273.736971
365.0,8331,20383.832779
104.0,5334,20454.231462
377.0,9169,20603.506126
407.0,8645,20731.271932
233.0,7247,20832.097422
373.0,7419,20935.990231
395.0,8206,21034.748898
396.0,8754,21216.215159
404.0,10149,21336.5995
247.0,3776,21372.646544
350.0,7956,21463.789657
427.0,31799,21858.622624
383.0,7940,21955.007232
324.0,7067,22039.614495
72.0,4680,22095.193647
75.0,5916,22167.506599
43.0,3567,22216.643435
407.0,7753,22304.888731
348.0,8822,22398.196173
73.0,4773,22458.899297
65.0,5866,22539.754371
385.0,10771,22681.663912
348.0,6258,22755.439923
402.0,9780,22875.376004
392.0,9168,22986.42899
