#{"t_start": 1702937613.3423364, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
210.0,1769,20.758398
160.0,1665,38.741579
210.0,1793,57.946786
380.0,2377,81.361393
270.0,1625,92.367642
550.0,2777,120.144831
1190.0,3705,161.57576
340.0,1833,174.249299
710.0,2361,199.873155
310.0,2233,223.018593
360.0,1985,246.361029
440.0,2489,271.76065
890.0,2089,294.201173
1440.0,3425,326.746155
1050.0,3921,370.417107
140.0,1649,381.625
490.0,3089,419.344522
530.0,2265,444.045213
930.0,3153,473.623619
510.0,2681,501.913928
690.0,2745,529.595082
660.0,2049,551.150739
510.0,2697,576.995544
370.0,2393,601.033399
320.0,2241,624.331146
470.0,2681,651.636111
350.0,2569,677.761712
580.0,2865,704.555375
1000.0,2993,732.657268
680.0,2705,761.279289
520.0,2473,786.357195
430.0,2145,808.851777
800.0,2889,835.48304
590.0,2617,861.862406
430.0,2361,886.796349
370.0,2073,909.559487
370.0,2281,932.903191
410.0,1529,943.401
560.0,3033,980.517111
980.0,3769,1016.015701
750.0,2745,1045.947729
1230.0,3865,1090.067175
730.0,2609,1118.357747
420.0,2729,1147.301087
520.0,1985,1169.123192
730.0,2433,1194.335829
450.0,2001,1208.886177
1160.0,2537,1234.217463
540.0,1705,1254.383729
600.0,2425,1280.090738
440.0,1833,1300.489524
670.0,2337,1327.398954
2290.0,2785,1356.378732
1020.0,3089,1389.5665
500.0,2049,1415.039804
420.0,1737,1436.129407
460.0,1969,1450.646617
370.0,1985,1473.663267
1300.0,2345,1499.222172
540.0,2449,1524.555619
960.0,3553,1559.994481
500.0,2145,1585.332275
1030.0,3065,1625.63347
1030.0,3137,1658.894456
630.0,2233,1684.611621
470.0,2361,1709.322794
600.0,2369,1736.993893
620.0,2457,1764.500352
930.0,3137,1796.999889
560.0,2897,1827.370154
630.0,2729,1856.215225
1480.0,3729,1893.20115
880.0,2625,1931.215656
1570.0,3161,1964.043804
910.0,3177,1996.517769
340.0,1761,2020.716917
1540.0,3881,2059.382947
780.0,3913,2106.341284
580.0,2737,2136.011841
830.0,2817,2165.701222
370.0,2233,2191.245668
490.0,1809,2213.07168
700.0,2761,2245.868503
1040.0,4929,2302.885639
1010.0,3825,2341.827789
880.0,2993,2372.832173
530.0,1929,2394.099727
1170.0,3241,2426.865609
930.0,3345,2469.265938
450.0,1825,2482.979174
760.0,3025,2523.729831
1380.0,3097,2557.821163
910.0,2553,2586.199839
1100.0,2945,2616.061019
430.0,1585,2636.032422
560.0,2161,2660.064826
940.0,3993,2699.032197
1470.0,3025,2729.324348
1290.0,3689,2775.161455
670.0,2033,2799.928681
1160.0,3417,2835.171134
980.0,3073,2866.650803
470.0,1777,2889.385233
1280.0,3473,2921.052317
540.0,2473,2945.141316
2270.0,2985,2972.700822
1130.0,2857,3011.031506
1230.0,2985,3040.967239
990.0,3041,3072.427918
2390.0,4465,3120.354498
1180.0,3729,3153.466917
520.0,1817,3174.724511
730.0,2905,3203.654388
2170.0,2225,3227.212386
1510.0,3033,3257.232421
990.0,2553,3283.093801
880.0,2585,3311.746495
1240.0,2873,3338.787966
2130.0,2729,3366.876684
910.0,3601,3409.119415
730.0,1737,3430.900353
860.0,2369,3455.384758
3670.0,2825,3484.362408
830.0,2841,3512.806797
460.0,1817,3525.437674
680.0,3353,3564.462949
880.0,2353,3590.925479
2330.0,4129,3627.173725
780.0,2513,3654.002898
1250.0,3497,3697.28383
1400.0,2849,3725.855129
290.0,1689,3747.80418
1400.0,4081,3785.611458
600.0,2081,3808.799904
1630.0,3225,3841.439609
960.0,3713,3889.090241
1440.0,2649,3915.830906
2150.0,3481,3949.94301
790.0,2569,3978.526239
1640.0,3857,4025.08435
910.0,3201,4056.646548
900.0,2929,4085.357985
2580.0,3481,4128.914413
460.0,1689,4140.001143
1210.0,3537,4181.257493
1530.0,4121,4219.326841
1760.0,3537,4263.545397
1230.0,2993,4296.446988
1330.0,3089,4327.004493
670.0,2753,4355.55569
1320.0,2833,4386.05042
690.0,2353,4412.341828
1710.0,4281,4461.198932
840.0,3081,4494.763729
1390.0,2985,4526.89536
