#{"t_start": 1702950231.937756, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3523,26.613243
-21.0,3131,49.320127
-20.0,3683,83.02753
-20.0,3352,105.778615
-21.0,3131,127.191401
-21.0,3304,150.30293
-18.0,4127,187.475776
-21.0,3379,212.892432
-20.0,3719,250.934683
-20.0,3590,279.854968
-21.0,3304,323.422887
-20.0,4410,362.016442
-21.0,4164,415.060657
-17.0,5851,478.338967
-19.0,4548,534.04508
-17.0,5953,620.038517
-19.0,7913,726.419044
-16.0,7815,842.715513
-17.0,8260,974.927074
-13.0,7665,1106.269179
-9.0,9013,1275.855087
1.0,11139,1475.331519
-6.0,9875,1669.262584
-1.0,12378,1928.321208
-2.0,12396,2197.963693
-1.0,16096,2598.549911
2.0,14820,2868.574623
-1.0,15310,3215.902414
13.0,12614,3473.13931
4.0,15851,3775.257881
1.0,17818,4105.053571
4.0,15935,4407.330079
8.0,13135,4691.240296
5.0,14879,4978.572021
8.0,16361,5262.610734
10.0,14697,5547.433074
9.0,16488,5855.903533
18.0,9593,6003.73467
19.0,10020,6180.642426
17.0,9333,6359.575335
14.0,15135,6643.004056
19.0,10700,6858.796548
19.0,10140,7047.303713
12.0,16227,7347.192039
18.0,9748,7523.104608
12.0,16039,7797.502666
15.0,13126,8051.538623
19.0,9666,8186.411066
19.0,8422,8351.279675
16.0,8942,8485.885102
11.0,15043,8723.801178
20.0,12769,8965.3859
20.0,13253,9241.316652
20.0,12771,9478.22951
20.0,7407,9624.396212
20.0,7949,9781.566774
17.0,12431,10001.68629
19.0,13247,10227.126671
21.0,7341,10365.575594
14.0,12529,10571.888242
20.0,7552,10679.820619
19.0,7499,10783.682195
19.0,7365,10900.454851
21.0,6881,11010.160469
21.0,6703,11089.124812
21.0,6620,11188.091169
21.0,6701,11295.163703
19.0,6903,11403.145918
20.0,6764,11482.912471
21.0,6701,11589.996576
19.0,7517,11699.865703
21.0,6439,11782.135695
21.0,6695,11886.567224
21.0,6421,11984.450341
21.0,6439,12060.78843
21.0,6701,12161.812575
21.0,6695,12261.2382
21.0,6444,12341.65655
21.0,6695,12445.663479
21.0,6695,12546.83861
21.0,6701,12624.768232
21.0,6564,12725.404114
21.0,6439,12802.650314
21.0,6564,12902.517149
21.0,6701,13003.479391
19.0,7667,13107.468393
20.0,6633,13185.237929
21.0,6916,13287.854924
21.0,6701,13388.879548
21.0,6676,13464.969012
21.0,6695,13563.13619
21.0,6439,13658.260218
21.0,6368,13731.88009
19.0,7297,13832.555624
21.0,6513,13925.931098
21.0,6695,14000.211792
21.0,6582,14096.855051
21.0,6510,14193.603955
21.0,6421,14268.529401
21.0,6421,14361.807296
21.0,6439,14433.998708
20.0,6906,14528.548162
20.0,6468,14622.422658
21.0,6421,14695.30867
21.0,6421,14788.448023
21.0,6388,14860.056956
21.0,6421,14954.798834
21.0,6439,15027.805536
21.0,6695,15123.621258
21.0,6388,15217.955692
21.0,6368,15290.564882
21.0,6620,15383.866191
21.0,6368,15456.96379
19.0,7266,15557.043881
21.0,6695,15651.561868
20.0,6930,15748.529525
21.0,6695,15822.136677
21.0,6424,15916.072454
18.0,7643,16015.71229
21.0,6482,16108.920354
21.0,6452,16181.439682
21.0,6368,16274.963948
21.0,6695,16348.684448
21.0,6368,16443.037966
21.0,6439,16516.283203
20.0,6781,16611.139104
21.0,6439,16704.33838
21.0,6368,16776.449037
21.0,6439,16869.306466
21.0,6439,16942.919413
21.0,6368,17035.358087
21.0,6388,17129.638272
21.0,6421,17201.571969
21.0,6421,17293.605714
21.0,7100,17370.306578
21.0,6421,17465.645147
18.0,7225,17562.162618
20.0,6901,17657.973438
21.0,6368,17730.115845
21.0,6421,17822.514085
21.0,6368,17894.580491
21.0,6439,17989.946885
21.0,6421,18062.4584
21.0,6695,18157.108992
21.0,6439,18250.114865
21.0,6695,18323.906218
21.0,6695,18420.030916
20.0,6670,18513.572661
20.0,6854,18588.534666
20.0,6873,18686.908329
20.0,6758,18781.71364
