#{"t_start": 1702960194.5739338, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
205.0,2147,25.348412
35.0,1565,43.684198
160.0,2041,65.2308
80.0,1883,79.801976
210.0,2459,105.618667
180.0,1567,124.462444
485.0,2961,153.188622
460.0,2873,182.899657
230.0,2751,210.533191
165.0,2305,236.658355
150.0,1833,256.654826
180.0,1909,278.248556
215.0,2387,306.202555
215.0,4589,364.632252
260.0,2711,396.986274
215.0,2453,429.142487
590.0,4151,471.940762
335.0,2951,508.231369
390.0,4197,566.072868
155.0,1435,590.031796
510.0,4605,640.788409
465.0,3821,694.473556
450.0,4283,747.998945
515.0,3163,780.75798
315.0,3139,817.557767
495.0,4233,874.497848
500.0,4589,936.596787
470.0,2839,971.611735
320.0,2637,1003.269804
320.0,3175,1039.591559
675.0,6411,1126.87987
435.0,3491,1165.447145
210.0,4223,1219.275078
330.0,1909,1234.085077
290.0,2013,1257.476206
280.0,2851,1287.356309
580.0,2627,1318.631874
495.0,3307,1363.919883
215.0,2071,1379.198851
420.0,2587,1408.935449
525.0,3307,1453.035684
315.0,2931,1485.095572
430.0,2371,1509.918232
280.0,2003,1535.468961
320.0,2271,1559.513294
260.0,2149,1576.517643
425.0,2563,1604.862672
370.0,2953,1648.890265
265.0,1861,1663.295246
395.0,2185,1690.420824
600.0,5067,1745.833316
240.0,2043,1768.84262
200.0,1789,1791.460846
270.0,2489,1819.207387
530.0,4697,1862.562467
270.0,1991,1889.296199
180.0,1319,1905.994417
410.0,2667,1934.830048
330.0,2647,1963.688385
360.0,2455,1991.942061
445.0,3291,2025.363963
620.0,3734,2071.158933
310.0,2009,2086.178338
340.0,2721,2115.03525
435.0,2773,2143.921518
215.0,1895,2165.53188
275.0,2535,2195.683332
420.0,2933,2227.601476
370.0,2625,2257.770621
480.0,3235,2301.361009
365.0,2307,2327.525158
435.0,3611,2365.157942
475.0,2747,2395.299368
395.0,3433,2430.288975
470.0,2721,2460.347103
495.0,2681,2500.869763
515.0,2967,2531.459214
265.0,1593,2544.21964
420.0,2519,2572.868433
315.0,2419,2599.866048
390.0,3161,2642.890795
525.0,3091,2675.754373
350.0,2607,2704.46779
420.0,2637,2733.415358
445.0,2727,2763.758594
355.0,2233,2790.364038
155.0,1785,2803.437623
645.0,4447,2858.197255
570.0,3977,2907.131505
730.0,3587,2943.036403
420.0,2761,2971.483606
375.0,2187,2996.491942
420.0,2604,3026.369966
540.0,2489,3052.45573
500.0,2311,3079.128004
175.0,1561,3099.084425
320.0,2187,3124.771467
435.0,2611,3151.979518
220.0,2085,3167.646725
360.0,2257,3193.396009
370.0,2191,3218.892621
330.0,2271,3246.436645
480.0,2651,3274.139481
520.0,2727,3303.098487
360.0,2225,3328.106731
390.0,2575,3356.428816
340.0,2081,3384.231068
470.0,2569,3414.369796
365.0,2411,3441.32303
545.0,3349,3475.654408
600.0,4681,3529.328658
340.0,2485,3558.487601
310.0,2101,3586.772509
415.0,2811,3616.138785
240.0,2069,3641.295462
485.0,3325,3675.153158
345.0,2383,3703.354257
285.0,1903,3725.76745
320.0,2503,3753.22374
385.0,2681,3784.006937
225.0,1603,3796.064402
305.0,2239,3824.48929
465.0,2353,3851.605021
430.0,2951,3882.814165
310.0,2787,3914.943386
285.0,2375,3942.150789
525.0,3367,3990.659317
320.0,2579,4018.914491
410.0,2605,4046.507345
400.0,2881,4079.83899
295.0,1749,4104.243899
555.0,3963,4144.355917
460.0,2113,4170.459745
490.0,2959,4201.671708
660.0,3993,4253.802589
360.0,2055,4269.182089
415.0,2435,4299.940639
380.0,2249,4327.760709
510.0,2817,4357.687886
150.0,1255,4378.303781
510.0,3041,4409.722246
415.0,3029,4442.484798
325.0,2067,4468.460257
500.0,3663,4513.074985
570.0,5401,4576.409042
625.0,3549,4612.779775
530.0,3963,4664.192819
240.0,1685,4677.287189
670.0,3093,4721.815893
520.0,3451,4756.244578
465.0,2761,4785.873164
535.0,3360,4821.176386
410.0,2263,4846.397449
420.0,2560,4876.799341
355.0,2601,4906.9567
320.0,2337,4935.2459
780.0,3575,4980.693638
370.0,2457,5008.000057
495.0,3155,5040.63743
390.0,2841,5071.249521
465.0,3101,5104.915709
365.0,2471,5133.188509
350.0,2727,5164.591282
415.0,2489,5193.028002
495.0,3055,5225.531233
370.0,2651,5255.987921
580.0,4237,5305.020771
240.0,1549,5326.72929
330.0,2153,5351.10395
475.0,2931,5384.780649
600.0,4213,5426.761756
375.0,2381,5454.169285
310.0,2253,5481.021765
475.0,3033,5514.160545
565.0,2675,5544.904664
555.0,3227,5589.927613
570.0,3157,5623.917189
465.0,2177,5649.725298
515.0,2509,5677.604851
395.0,2543,5708.264273
545.0,4375,5750.652155
440.0,2156,5776.101091
445.0,2383,5804.880074
405.0,2321,5833.629285
515.0,3239,5870.087685
425.0,2365,5896.491595
575.0,3807,5944.075253
465.0,2305,5972.790471
605.0,3175,6006.12634
635.0,2347,6033.768703
560.0,3635,6070.3952
365.0,2481,6099.337773
295.0,1931,6122.594535
555.0,3419,6160.336252
360.0,2321,6190.688066
410.0,2421,6218.572764
365.0,2337,6245.468126
600.0,3429,6288.265008
440.0,2156,6304.32755
